,/lpc/nct6795d/control/0,/lpc/nct6795d/control/1,/lpc/nct6795d/control/2,/lpc/nct6795d/control/3,/lpc/nct6795d/control/4,/lpc/nct6795d/control/5,/lpc/nct6795d/voltage/0,/lpc/nct6795d/voltage/1,/lpc/nct6795d/voltage/2,/lpc/nct6795d/voltage/3,/lpc/nct6795d/voltage/4,/lpc/nct6795d/voltage/5,/lpc/nct6795d/voltage/6,/lpc/nct6795d/voltage/7,/lpc/nct6795d/voltage/9,/lpc/nct6795d/voltage/10,/lpc/nct6795d/voltage/12,/lpc/nct6795d/voltage/13,/lpc/nct6795d/voltage/14,/lpc/nct6795d/temperature/0,/lpc/nct6795d/temperature/1,/lpc/nct6795d/temperature/2,/lpc/nct6795d/temperature/3,/lpc/nct6795d/temperature/4,/lpc/nct6795d/temperature/6,/lpc/nct6795d/fan/1,/lpc/nct6795d/fan/5,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VTT","Voltage #11","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #6","Fan #2","Fan #6","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
05/25/2020 00:00:19,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.016,3.42400026,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1721,755,96.875,92.1875,98.4375,90.625,94.53125,58,56,59,60,60,3299.99829,3299.99829,3299.99829,3299.99829,23.6816025,19.85848,0,2.07183981,99.99995,73.4038,11.7193985,4.246258,67,1873.00012,4006.80029,3746.00024,1556,95,23,12,6,48,6144,5767.68359,376.3164,93.87506,92.217,747.0703,115.234375,40,51.7497025,67.64215
05/25/2020 00:00:20,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.024,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,59.5,42.5,41,19,22,-1,1746,776,90.625,93.75,81.25,84.375,87.5,58,56,58,59,59,3299.99927,3299.99927,3299.99927,3299.99927,22.7431583,18.9589577,0,1.909611,99.99998,73.44265,11.7256012,4.240055,67,1873.00012,4006.80029,3746.00024,1556,99,24,11,6,48,6144,5767.68359,376.3164,93.87506,88.955,805.664063,147.460938,40,51.7497025,67.64215
05/25/2020 00:00:21,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1762,755,100,96.875,98.4375,96.875,98.046875,59,56,58,61,61,3299.99878,3299.99878,3299.99878,3299.99878,23.7078876,19.8371334,0,2.18961453,99.99997,73.43558,11.724472,4.241184,67,1873.00012,4006.80029,3746.00024,1558,98,27,12,7,48,6144,5767.68359,376.3164,93.87506,84.077,1164.0625,175.78125,40,51.7497025,67.64215
05/25/2020 00:00:22,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.024,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1755,775,96.875,92.1875,93.75,100,95.703125,59,57,58,61,61,3299.99829,3299.99829,3299.99829,3299.99829,23.6496429,19.8329945,0,2.07055521,99.99995,73.38949,11.7171135,4.248543,68,1873.00012,4006.80029,3746.00024,1556,99,27,11,7,48,6144,5767.68359,376.3164,93.87506,89.651,780.273438,143.554688,40,51.7497864,67.64215
05/25/2020 00:00:23,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1719,753,98.4375,96.875,96.875,100,98.046875,58,56,58,60,60,3299.99927,3299.99927,3299.99927,3299.99927,23.7871132,19.9302311,0,2.17648721,99.99998,73.3924,11.7175789,4.24807739,68,1873.00012,4006.80029,3746.00024,1558,98,23,11,6,48,6144,5798.496,345.5039,94.376564,89.05,833.9844,147.460938,40,51.7497864,67.64215
05/25/2020 00:00:24,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1741,758,95.3125,98.4375,92.1875,95.3125,95.3125,58,56,58,61,61,3299.99878,3299.99878,3299.99878,3299.99878,23.8625565,19.9701939,0,2.22923875,99.99996,73.35518,11.7116356,4.25402069,68,1873.00012,4006.80029,3746.00024,1558,98,28,11,7,48,6144,5798.43359,345.5664,94.37555,91.3800049,1108.39844,144.53125,40,51.7497864,67.64215
05/25/2020 00:00:25,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.024,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,60.5,42.5,41,19,22,-1,1753,768,93.75,96.875,96.875,93.75,95.3125,58,56,59,61,61,3299.99854,3299.99854,3299.99854,3299.99854,23.5947151,19.7456017,0,2.195276,99.99996,73.3601,11.7124214,4.253235,68,1873.00012,4006.80029,3746.00024,1556,98,29,11,7,48,6144,5798.43359,345.5664,94.37555,88.8230057,795.898438,143.554688,40,51.7497864,67.64215
05/25/2020 00:00:26,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.024,3.40800023,3.36000013,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1741,746,100,98.4375,100,100,99.609375,58,56,59,61,61,3299.99951,3299.99951,3299.99951,3299.99951,24.3029232,20.4520359,0,2.16135216,99.9999847,73.46855,11.7297363,4.23592,68,1873.00012,4006.80029,3746.00024,1558,97,27,11,7,48,6144,5767.246,376.7539,93.86794,92.30501,636.71875,97.65625,40,51.7497864,67.64215
05/25/2020 00:00:27,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1.008,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1724,753,100,100,100,100,100,59,57,59,61,61,3299.999,3299.999,3299.999,3299.999,24.4257774,20.546936,0,2.26201653,99.99997,73.4150543,11.7211952,4.244461,67,1873.00012,4006.80029,3746.00024,1558,86,23,10,7,48,6144,5767.246,376.7539,93.86794,81.1300049,911.1328,138.671875,40,51.7497864,67.64215
05/25/2020 00:00:28,47.45098,47.45098,57.64706,57.64706,57.64706,57.64706,1,1.016,3.40800023,3.37600017,1,0.160000011,1.136,3.40800023,1.008,1.072,1,0.6,1.51200008,61,42.5,41,19,22,-1,1744,776,100,100,100,100,100,59,57,60,61,61,3299.99878,3299.99878,3299.99878,3299.99878,24.3244686,20.4426823,0,2.21776366,99.99996,73.4802856,11.7316093,4.234047,67,1873.00012,4006.80029,3746.00024,1560,83,22,11,6,48,6144,5767.246,376.7539,93.86794,89.3370056,1034.17969,152.34375,40,51.7497864,67.64215
